Date,CPI_Index
2010-01-01,95.2
2010-02-01,95.2
2010-03-01,95.2
2010-04-01,95.2
2010-05-01,95.2
2010-06-01,95.8
2010-07-01,95.8
2010-08-01,95.8
2010-09-01,96.5
2010-10-01,96.5
2010-11-01,96.5
2010-12-01,96.9
2011-01-01,96.9
2011-02-01,96.9
2011-03-01,98.3
2011-04-01,98.3
2011-05-01,98.3
2011-06-01,99.2
2011-07-01,99.2
2011-08-01,99.2
2011-09-01,99.8
2011-10-01,99.8
2011-11-01,99.8
2011-12-01,99.8
2012-01-01,99.8
2012-02-01,99.8
2012-03-01,99.9
2012-04-01,99.9
2012-05-01,99.9
2012-06-01,100.4
2012-07-01,100.4
2012-08-01,100.4
2012-09-01,101.8
2012-10-01,101.8
2012-11-01,101.8
2012-12-01,102.0
2013-01-01,102.0
2013-02-01,102.0
2013-03-01,102.4
2013-04-01,102.4
2013-05-01,102.4
2013-06-01,102.8
2013-07-01,102.8
2013-08-01,102.8
2013-09-01,104.0
2013-10-01,104.0
2013-11-01,104.0
2013-12-01,104.8
2014-01-01,104.8
2014-02-01,104.8
2014-03-01,105.4
2014-04-01,105.4
2014-05-01,105.4
2014-06-01,105.9
2014-07-01,105.9
2014-08-01,105.9
2014-09-01,106.4
2014-10-01,106.4
2014-11-01,106.4
2014-12-01,106.6
2015-01-01,106.6
2015-02-01,106.6
2015-03-01,106.8
2015-04-01,106.8
2015-05-01,106.8
2015-06-01,107.5
2015-07-01,107.5
2015-08-01,107.5
2015-09-01,108.0
2015-10-01,108.0
2015-11-01,108.0
2015-12-01,108.4
2016-01-01,108.4
2016-02-01,108.4
2016-03-01,108.2
2016-04-01,108.2
2016-05-01,108.2
2016-06-01,108.6
2016-07-01,108.6
2016-08-01,108.6
2016-09-01,109.4
2016-10-01,109.4
2016-11-01,109.4
2016-12-01,110.0
2017-01-01,110.0
2017-02-01,110.0
2017-03-01,110.5
2017-04-01,110.5
2017-05-01,110.5
2017-06-01,110.7
2017-07-01,110.7
2017-08-01,110.7
2017-09-01,111.4
2017-10-01,111.4
2017-11-01,111.4
2017-12-01,112.1
2018-01-01,112.1
2018-02-01,112.1
2018-03-01,112.6
2018-04-01,112.6
2018-05-01,112.6
2018-06-01,113.0
2018-07-01,113.0
2018-08-01,113.0
2018-09-01,113.5
2018-10-01,113.5
2018-11-01,113.5
2018-12-01,114.1
2019-01-01,114.1
2019-02-01,114.1
2019-03-01,114.1
2019-04-01,114.1
2019-05-01,114.1
2019-06-01,114.8
2019-07-01,114.8
2019-08-01,114.8
2019-09-01,115.4
2019-10-01,115.4
2019-11-01,115.4
2019-12-01,116.2
2020-01-01,116.2
2020-02-01,116.2
2020-03-01,116.6
2020-04-01,116.6
2020-05-01,116.6
2020-06-01,114.4
2020-07-01,114.4
2020-08-01,114.4
2020-09-01,116.2
2020-10-01,116.2
2020-11-01,116.2
2020-12-01,117.2
2021-01-01,117.2
2021-02-01,117.2
2021-03-01,117.9
2021-04-01,117.9
2021-05-01,117.9
2021-06-01,118.8
2021-07-01,118.8
2021-08-01,118.8
2021-09-01,119.7
2021-10-01,119.7
2021-11-01,119.7
2021-12-01,121.3
2022-01-01,121.3
2022-02-01,121.3
2022-03-01,123.9
2022-04-01,123.9
2022-05-01,123.9
2022-06-01,126.1
2022-07-01,126.1
2022-08-01,126.1
2022-09-01,128.4
2022-10-01,128.4
2022-11-01,128.4
2022-12-01,130.8
2023-01-01,130.8
2023-02-01,130.8
2023-03-01,132.6
2023-04-01,132.6
2023-05-01,132.6
2023-06-01,133.7
2023-07-01,133.7
2023-08-01,133.7
2023-09-01,135.3
2023-10-01,135.3
2023-11-01,135.3
2023-12-01,136.1
2024-01-01,136.1
2024-02-01,136.1
2024-03-01,137.4
2024-04-01,137.4
2024-05-01,137.4
2024-06-01,138.8
2024-07-01,138.8
2024-08-01,138.8
2024-09-01,139.1
2024-10-01,139.1
2024-11-01,139.1
2024-12-01,139.4
