Date,Unemployment Rate (%),CPI_Index,Seasonally Adjusted Turnover ($m),Retail_Data_Available,luxury,quiet_luxury,silent_luxury,minimalist_fashion,timeless_basics,capsule_wardrobe,thrift_store,second_hand_clothing,vintage_clothing,short_skirts,mini_skirts,fast_fashion,statement_pieces
2010-01-01,5.3,95.2,20144.9,True,68,0,0,0,0,0,0,45,69,100,94,0,0
2010-02-01,5.3,95.2,19890.0,True,57,0,0,0,0,0,0,72,79,85,56,12,0
2010-03-01,5.4,95.2,19917.3,True,59,0,0,0,0,0,22,43,83,79,65,10,0
2010-04-01,5.5,95.2,20030.0,True,57,0,0,0,0,0,19,86,85,72,53,0,0
2010-05-01,5.2,95.2,0.0,False,56,0,0,0,0,0,22,64,92,63,64,0,0
2010-06-01,5.1,95.8,0.0,False,53,0,0,0,0,0,0,87,96,95,84,0,0
2010-07-01,5.3,95.8,0.0,False,54,0,0,0,0,0,0,100,84,80,97,0,0
2010-08-01,5.0,95.8,0.0,False,54,0,0,0,0,0,0,87,81,64,50,0,0
2010-09-01,5.1,96.5,0.0,False,54,0,0,0,0,0,0,82,85,89,73,13,0
2010-10-01,5.3,96.5,0.0,False,55,0,0,0,0,0,0,72,79,78,62,10,0
2010-11-01,5.15,96.5,20001.4,True,51,0,0,0,0,0,0,61,85,77,50,0,0
2010-12-01,4.95,96.9,0.0,False,50,0,0,0,0,0,0,63,78,70,36,0,0
2011-01-01,5.0,96.9,0.0,False,54,0,0,0,0,0,0,79,72,76,78,0,0
2011-02-01,5.0,96.9,0.0,False,52,0,0,0,0,0,19,65,86,78,61,6,0
2011-03-01,4.9,98.3,0.0,False,49,0,0,0,0,9,13,76,83,80,56,12,0
2011-04-01,5.0,98.3,0.0,False,51,0,0,0,0,10,0,73,93,67,66,10,0
2011-05-01,5.0,98.3,0.0,False,45,0,0,0,0,12,11,88,91,67,46,6,0
2011-06-01,4.9,99.2,0.0,False,47,0,0,0,0,0,23,84,90,82,69,9,0
2011-07-01,5.1,99.2,0.0,False,49,0,0,0,0,0,27,74,82,87,70,7,0
2011-08-01,5.3,99.2,0.0,False,48,0,0,0,0,0,18,67,89,71,80,18,0
2011-09-01,5.2,99.8,0.0,False,47,0,0,0,0,0,22,75,81,88,64,12,0
2011-10-01,5.2,99.8,0.0,False,47,0,0,0,0,0,15,84,83,80,70,17,0
2011-11-01,5.2,99.8,0.0,False,46,0,0,0,0,0,16,60,76,99,63,10,0
