Date,Unemployment Rate (%),CPI_Index,Seasonally Adjusted Turnover ($m),Retail_Data_Available
2010-01-01,5.3,95.2,20144.9,True
2010-02-01,5.3,95.2,19890.0,True
2010-03-01,5.4,95.2,19917.3,True
2010-04-01,5.5,95.2,20030.0,True
2010-05-01,5.2,95.2,0.0,False
2010-06-01,5.1,95.8,0.0,False
2010-07-01,5.3,95.8,0.0,False
2010-08-01,5.0,95.8,0.0,False
2010-09-01,5.1,96.5,0.0,False
2010-10-01,5.3,96.5,0.0,False
2010-11-01,5.15,96.5,20001.4,True
2010-12-01,4.95,96.9,0.0,False
2011-01-01,5.0,96.9,0.0,False
2011-02-01,5.0,96.9,0.0,False
2011-03-01,4.9,98.3,0.0,False
2011-04-01,5.0,98.3,0.0,False
2011-05-01,5.0,98.3,0.0,False
2011-06-01,4.9,99.2,0.0,False
2011-07-01,5.1,99.2,0.0,False
2011-08-01,5.3,99.2,0.0,False
2011-09-01,5.2,99.8,0.0,False
2011-10-01,5.2,99.8,0.0,False
2011-11-01,5.2,99.8,0.0,False
2011-12-01,5.2,99.8,0.0,False
2012-01-01,5.0,99.8,0.0,False
2012-02-01,5.2,99.8,0.0,False
2012-03-01,5.2,99.9,0.0,False
2012-04-01,5.0,99.9,0.0,False
2012-05-01,5.2,99.9,0.0,False
2012-06-01,5.2,100.4,0.0,False
2012-07-01,5.2,100.4,0.0,False
2012-08-01,5.1,100.4,0.0,False
2012-09-01,5.5,101.8,0.0,False
2012-10-01,5.4,101.8,0.0,False
2012-11-01,5.3,101.8,0.0,False
2012-12-01,5.4,102.0,0.0,False
2013-01-01,5.4,102.0,0.0,False
2013-02-01,5.4,102.0,0.0,False
2013-03-01,5.6,102.4,0.0,False
2013-04-01,5.6,102.4,0.0,False
2013-05-01,5.6,102.4,0.0,False
2013-06-01,5.7,102.8,0.0,False
2013-07-01,5.6,102.8,0.0,False
2013-08-01,5.8,102.8,0.0,False
2013-09-01,5.7,104.0,0.0,False
2013-10-01,5.8,104.0,0.0,False
2013-11-01,5.8,104.0,0.0,False
2013-12-01,5.9,104.8,0.0,False
2014-01-01,5.9,104.8,0.0,False
2014-02-01,5.9,104.8,0.0,False
2014-03-01,5.9,105.4,0.0,False
2014-04-01,5.8,105.4,0.0,False
2014-05-01,5.9,105.4,0.0,False
2014-06-01,6.05,105.9,0.0,False
2014-07-01,6.2,105.9,0.0,False
2014-08-01,6.1,105.9,0.0,False
2014-09-01,6.2,106.4,0.0,False
2014-10-01,6.4,106.4,0.0,False
2014-11-01,6.3,106.4,0.0,False
2014-12-01,6.1,106.6,0.0,False
2015-01-01,6.3,106.6,0.0,False
2015-02-01,6.15,106.6,0.0,False
2015-03-01,6.1,106.8,0.0,False
2015-04-01,6.1,106.8,0.0,False
2015-05-01,5.9,106.8,0.0,False
2015-06-01,6.0,107.5,0.0,False
2015-07-01,6.3,107.5,0.0,False
2015-08-01,6.1,107.5,0.0,False
2015-09-01,6.2,108.0,0.0,False
2015-10-01,5.9,108.0,0.0,False
2015-11-01,5.9,108.0,0.0,False
2015-12-01,5.7,108.4,0.0,False
2016-01-01,6.0,108.4,0.0,False
2016-02-01,5.7,108.4,0.0,False
2016-03-01,5.7,108.2,0.0,False
2016-04-01,5.6,108.2,0.0,False
2016-05-01,5.7,108.2,0.0,False
2016-06-01,5.7,108.6,0.0,False
2016-07-01,5.7,108.6,0.0,False
2016-08-01,5.6,108.6,0.0,False
2016-09-01,5.7,109.4,0.0,False
2016-10-01,5.6,109.4,0.0,False
2016-11-01,5.8,109.4,0.0,False
2016-12-01,5.8,110.0,0.0,False
2017-01-01,5.7,110.0,0.0,False
2017-02-01,5.9,110.0,0.0,False
2017-03-01,5.8,110.5,0.0,False
2017-04-01,5.6,110.5,0.0,False
2017-05-01,5.5,110.5,0.0,False
2017-06-01,5.6,110.7,0.0,False
2017-07-01,5.6,110.7,0.0,False
2017-08-01,5.5,110.7,0.0,False
2017-09-01,5.5,111.4,0.0,False
2017-10-01,5.4,111.4,0.0,False
2017-11-01,5.5,111.4,0.0,False
2017-12-01,5.6,112.1,0.0,False
