Month,Year,Seasonally Adjusted Turnover ($m)
January,2010,20144.9
February,2010,19890
March,2010,19917.3
April,2010,20030
November,2010,20001.4
January,2018,26263.4
October,2018,26986.9
November,2018,27121
December,2018,27005.9
January,2019,27190
March,2019,27270.4
April,2019,27178.1
May,2019,27293.2
June,2019,27386.3
July,2019,27395.5
August,2019,27541.5
September,2019,27563.2
October,2019,27681.3
November,2019,27709.9
December,2019,27954.1
January,2020,27841.4
February,2020,27850.4
March,2020,29927
April,2020,24801.7
May,2020,28799.8
June,2020,29594.3
July,2020,30799.4
August,2020,29488.6
September,2020,29119.1
October,2020,29706.9
November,2020,31196
December,2020,30882.9
January,2021,30790.7
February,2021,30412.8
March,2021,30621.7
April,2021,30986.8
May,2021,30988.1
June,2021,30542.5
July,2021,29789.7
August,2021,29219.8
September,2021,29732.9
October,2021,31222.5
November,2021,32747.4
December,2021,32521.3
January,2022,32794.8
February,2022,33172.9
March,2022,33561.8
April,2022,33925
May,2022,34079.6
June,2022,34361.9
July,2022,34706.4
August,2022,34816.2
September,2022,35008.8
October,2022,35119.8
November,2022,35194.6
December,2022,34972.4
January,2023,35343.8
February,2023,35314.2
March,2023,35425.2
April,2023,35403.6
May,2023,35494
June,2023,35152.1
July,2023,35360.6
August,2023,35393.6
September,2023,35681.1
October,2023,35523
November,2023,35909.2
December,2023,35320.7
January,2024,35688.9
February,2024,35864.8
March,2024,35729.1
April,2024,35893
May,2024,36188.8
June,2024,36146.8
July,2024,36209.4
August,2024,36478.2
September,2024,36547
October,2024,36749.7
November,2024,36967.4
December,2024,36927.5
