Date,Unemployment Rate (%),CPI_Index,Seasonally Adjusted Turnover ($m),Retail_Data_Available,luxury,quiet_luxury,silent_luxury,minimalist_fashion,timeless_basics,capsule_wardrobe,thrift_store,second_hand_clothing,vintage_clothing,short_skirts,mini_skirts,fast_fashion,statement_pieces
01-01-2020,5.25,116.2,27841.4,TRUE,98,0,0,53,0,50,78,74,50,40,54,18,0
01-02-2020,5.1,116.2,27850.4,TRUE,85,0,0,0,0,39,66,76,58,39,54,26,0
01-03-2020,5.2,116.6,29927,TRUE,57,0,0,0,0,23,48,52,48,35,53,32,0
01-04-2020,6.25,116.6,24801.7,TRUE,46,0,0,0,0,31,43,45,67,34,50,32,0
01-05-2020,7.05,116.6,28799.8,TRUE,67,0,0,0,0,40,55,53,75,28,50,52,0
01-06-2020,7.4,114.4,29594.3,TRUE,87,0,0,0,0,40,91,61,64,36,51,37,0
01-07-2020,7.5,114.4,30799.4,TRUE,69,0,0,0,0,33,75,60,74,37,52,35,0
01-08-2020,6.8,114.4,29488.6,TRUE,65,0,0,0,0,29,57,49,71,32,50,47,0
01-09-2020,6.9,116.2,29119.1,TRUE,72,0,0,68,0,41,52,57,58,37,55,52,0
01-10-2020,7,116.2,29706.9,TRUE,69,0,0,0,0,29,59,59,53,43,73,36,0
01-11-2020,6.8,116.2,31196,TRUE,73,0,0,0,0,32,53,57,50,35,64,34,0
01-12-2020,6.55,117.2,30882.9,TRUE,70,25,0,0,0,22,63,50,56,47,61,16,0
01-01-2021,6.35,117.2,30790.7,TRUE,82,0,0,0,0,34,65,68,62,39,57,12,88
01-02-2021,5.8,117.2,30412.8,TRUE,76,0,0,0,0,29,51,53,54,36,55,20,0
01-03-2021,5.65,117.9,30621.7,TRUE,79,0,0,0,0,34,56,54,58,39,58,34,0
01-04-2021,5.5,117.9,30986.8,TRUE,77,0,0,0,0,44,76,62,60,31,65,30,0
01-05-2021,5.1,117.9,30988.1,TRUE,74,0,0,0,0,33,58,61,57,43,52,62,0
01-06-2021,4.95,118.8,30542.5,TRUE,72,0,0,0,0,29,63,50,56,34,50,46,0
01-07-2021,4.65,118.8,29789.7,TRUE,64,0,0,0,0,33,48,53,59,35,47,33,0
01-08-2021,4.55,118.8,29219.8,TRUE,59,0,0,0,0,26,41,44,53,34,50,60,0
01-09-2021,4.65,119.7,29732.9,TRUE,61,0,0,78,0,34,52,54,54,37,56,47,0
01-10-2021,5.2,119.7,31222.5,TRUE,72,0,0,0,0,32,58,59,49,38,68,52,0
01-11-2021,4.6,119.7,32747.4,TRUE,75,0,0,0,0,28,55,57,48,38,67,55,0
01-12-2021,4.2,121.3,32521.3,TRUE,67,0,0,0,0,27,59,55,46,39,59,21,0
