Economic_Variable,Fashion_Trend,Lag_Months,Cross_Correlation
Unemployment Rate (%),luxury,0,-0.41800869197350815
Unemployment Rate (%),luxury,1,-0.45150074841069976
Unemployment Rate (%),luxury,2,-0.468585404428028
Unemployment Rate (%),luxury,3,-0.4522192668008235
Unemployment Rate (%),luxury,4,-0.42228323404815715
Unemployment Rate (%),luxury,5,-0.40424082859460325
Unemployment Rate (%),luxury,6,-0.3930999117746259
Unemployment Rate (%),luxury,7,-0.38873861254957237
Unemployment Rate (%),luxury,8,-0.3812416959784728
Unemployment Rate (%),luxury,9,-0.35842528836570386
Unemployment Rate (%),luxury,10,-0.33876547254451783
Unemployment Rate (%),luxury,11,-0.32837199342912765
Unemployment Rate (%),luxury,12,-0.3180884268123754
Unemployment Rate (%),luxury,13,-0.32611578520520795
Unemployment Rate (%),luxury,14,-0.3235861438598036
Unemployment Rate (%),luxury,15,-0.31384828607262194
Unemployment Rate (%),luxury,16,-0.3134365042594034
Unemployment Rate (%),luxury,17,-0.32894739823692337
Unemployment Rate (%),luxury,18,-0.35042358469886326
Unemployment Rate (%),luxury,19,-0.3650063018100824
Unemployment Rate (%),luxury,20,-0.35897676573228376
Unemployment Rate (%),luxury,21,-0.3506841639676484
Unemployment Rate (%),luxury,22,-0.3651808804471119
Unemployment Rate (%),luxury,23,-0.3779754412132219
Unemployment Rate (%),luxury,24,-0.38369901222704567
Unemployment Rate (%),luxury,25,-0.4043968184121897
Unemployment Rate (%),luxury,26,-0.4076075344542482
Unemployment Rate (%),luxury,27,-0.40527048545538935
Unemployment Rate (%),luxury,28,-0.42135551909225866
Unemployment Rate (%),luxury,29,-0.43638010348436757
Unemployment Rate (%),luxury,30,-0.45093636362447237
Unemployment Rate (%),luxury,31,-0.47223898514825147
Unemployment Rate (%),luxury,32,-0.47308956921630674
Unemployment Rate (%),luxury,33,-0.47042887640540226
Unemployment Rate (%),luxury,34,-0.47926170634725296
Unemployment Rate (%),luxury,35,-0.4908018938468088
Unemployment Rate (%),luxury,36,-0.5000274728216942
Unemployment Rate (%),luxury,37,-0.527234202788471
Unemployment Rate (%),luxury,38,-0.5252910122278015
Unemployment Rate (%),luxury,39,-0.530307959387312
Unemployment Rate (%),luxury,40,-0.5487653078055571
Unemployment Rate (%),luxury,41,-0.56645302889154
Unemployment Rate (%),luxury,42,-0.5760887723072081
Unemployment Rate (%),luxury,43,-0.591400313740052
Unemployment Rate (%),luxury,44,-0.5951412020140203
Unemployment Rate (%),luxury,45,-0.5831197853427718
Unemployment Rate (%),luxury,46,-0.5792029028578219
Unemployment Rate (%),luxury,47,-0.581282800086255
